"Organism","Limb_Width","Limb_length","Observer"
"Asteria rubens",0.998,22.89,"Ella B"
"Asteria rubens",1.696,17.036,"Ella B"
"Arabidopis Thaliana",1.864,19.116,"Jessica L"
"Arabidopis Thaliana",4.247,27.277,"Jessica L"
"Arabidopis Thaliana",5.503,18.744,"Sarah K"
"Quercus robur",3.755,16.987,"Jessica L"
"Quercus robur",1.054,16.263,"Jessica L"
"Panthera leo",1.483,13.291,"Sarah K"
"Asteria rubens",3.244,15.731,"Jessica L"
"Panthera leo",2.707,17.753,"Jessica L"
"Drosophila meanogaster",2.087,60.494,"Sarah K"
"Quercus robur",1.753,12.659,"Jessica L"
"Drosophila meanogaster",1.554,15.455,"Sarah K"
"Quercus robur",3.26,26.339,"Jessica L"
"Arabidopis Thaliana",2.099,23.921,"Jessica L"
"Asteria rubens",7.623,11.364,"Sarah K"
"Arabidopis Thaliana",3.278,14.391,"Jessica L"
"Quercus robur",2.231,15.743,"Jessica L"
"Drosophila meanogaster",2.049,45.665,"Sarah K"
"Asteria rubens",3.656,36.525,"Sarah K"
"Asteria rubens",1.895,11.379,"Jessica L"
"Panthera leo",2.663,13.242,"Sarah K"
"Arabidopis Thaliana",4.38,10.545,"Ella B"
"Asteria rubens",2.37,15.882,"Jessica L"
"Arabidopis Thaliana",4.893,29.913,"Ella B"
"Drosophila meanogaster",1.855,41.972,"Ella B"
"Quercus robur",3.857,18.255,"Ella B"
"Arabidopis Thaliana",1.517,8.542,"Sarah K"
"Quercus robur",9.09,23.046,"Sarah K"
"Asteria rubens",4.93,14.766,"Jessica L"
"Panthera leo",6.976,9.976,"Ella B"
"Drosophila meanogaster",2.782,30.181,"Jessica L"
"Quercus robur",1.814,30.908,"Jessica L"
"Drosophila meanogaster",1.519,27.412,"Sarah K"
"Asteria rubens",2.507,24.954,"Ella B"
"Asteria rubens",2.837,53.46,"Ella B"
"Panthera leo",2.364,16.846,"Sarah K"
"Asteria rubens",3.226,18.75,"Ella B"
"Arabidopis Thaliana",7.236,14.818,"Ella B"
"Quercus robur",1.464,15.838,"Jessica L"
"Arabidopis Thaliana",2.192,13.955,"Sarah K"
"Asteria rubens",2.359,16.253,"Ella B"
"Arabidopis Thaliana",2.651,17.522,"Jessica L"
"Arabidopis Thaliana",7.587,15.484,"Ella B"
"Drosophila meanogaster",7.282,34.359,"Jessica L"
"Drosophila meanogaster",2.278,16.73,"Jessica L"
"Drosophila meanogaster",5.164,41.553,"Ella B"
"Quercus robur",0.933,28.824,"Jessica L"
"Drosophila meanogaster",2.52,43.677,"Ella B"
"Drosophila meanogaster",2.565,23.46,"Jessica L"
"Quercus robur",2.764,24.383,"Jessica L"
"Quercus robur",3.475,24.253,"Jessica L"
"Quercus robur",7.39,29.367,"Jessica L"
"Panthera leo",3.235,25.729,"Sarah K"
"Arabidopis Thaliana",2.006,18.432,"Jessica L"
"Asteria rubens",2.045,19.022,"Jessica L"
"Arabidopis Thaliana",3.799,14.406,"Jessica L"
"Arabidopis Thaliana",2.009,15.823,"Sarah K"
"Asteria rubens",2.511,37.528,"Ella B"
"Asteria rubens",1.848,32.385,"Ella B"
"Drosophila meanogaster",2.809,11.839,"Jessica L"
"Asteria rubens",3.186,8.236,"Jessica L"
"Arabidopis Thaliana",7.071,19.472,"Sarah K"
"Panthera leo",3.938,35.019,"Jessica L"
"Arabidopis Thaliana",4.44,29.584,"Jessica L"
"Arabidopis Thaliana",2.89,13.466,"Jessica L"
"Asteria rubens",5.38,14.093,"Jessica L"
"Arabidopis Thaliana",3.428,9.92,"Ella B"
"Panthera leo",9.101,27.572,"Jessica L"
"Panthera leo",2.192,16.727,"Ella B"
"Drosophila meanogaster",2.463,13.317,"Sarah K"
"Arabidopis Thaliana",3.821,20.601,"Sarah K"
"Asteria rubens",4.504,33.8,"Sarah K"
"Quercus robur",4.816,22.231,"Sarah K"
"Arabidopis Thaliana",1.492,11.811,"Sarah K"
"Panthera leo",2.808,27.403,"Ella B"
"Panthera leo",1.99,29.892,"Sarah K"
"Arabidopis Thaliana",1.868,16.341,"Jessica L"
"Drosophila meanogaster",0.967,21.265,"Ella B"
"Drosophila meanogaster",1.444,30.516,"Ella B"
"Drosophila meanogaster",2.302,13.035,"Jessica L"
"Quercus robur",6.222,38.725,"Ella B"
"Arabidopis Thaliana",1.693,36.099,"Jessica L"
"Arabidopis Thaliana",2.513,10.796,"Jessica L"
"Quercus robur",3.33,16.652,"Jessica L"
"Asteria rubens",5.403,25.829,"Ella B"
"Drosophila meanogaster",3.464,28.749,"Jessica L"
"Arabidopis Thaliana",2.508,26.025,"Jessica L"
"Quercus robur",2.844,11.098,"Ella B"
"Asteria rubens",6.312,21.355,"Jessica L"
"Drosophila meanogaster",2.317,42.29,"Ella B"
"Arabidopis Thaliana",2.357,63.771,"Ella B"
"Asteria rubens",2.894,20.636,"Jessica L"
"Drosophila meanogaster",4.113,13.722,"Ella B"
"Arabidopis Thaliana",1.615,5.179,"Sarah K"
"Quercus robur",5.08,53.545,"Ella B"
"Quercus robur",1.971,43.466,"Sarah K"
"Panthera leo",3.808,17.363,"Jessica L"
"Arabidopis Thaliana",1.952,13.052,"Jessica L"
"Quercus robur",2.608,31.169,"Ella B"
